Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,Geolocation,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2018,WA,Washington,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,9.8,9.8,,,9.2,10.4,1789,605151,Overall,Overall,,,DISEST,STATTYPE,"(47.52227862900048, -120.47001078999972)",53,Q6MOB,AGEADJPREV,CAT1,BO1,,
2018,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,74.6,74.6,,,73.8,75.4,27951,7689552,Overall,Overall,,,DISEST,STATTYPE,,86,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2018,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,14.6,14.6,,,13.4,15.8,1379,754648,Overall,Overall,,,DISEST,STATTYPE,"(38.635790776000476, -92.56630005299968)",29,Q6MOB,AGEADJPREV,CAT1,BO1,,
2018,HHS2,HHS Region 2,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,11.1,11.1,,,10.5,11.8,4624,2714179,Overall,Overall,,,DISEST,STATTYPE,,81,Q6COG,AGEADJPREV,CAT1,BO1,,
2018,IL,Illinois,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,21.8,21.8,,,20.4,23.2,1261,2198127,Overall,Overall,,,DISEST,STATTYPE,"(40.48501028300046, -88.99771017799969)",17,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2018,OH,Ohio,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.7,4.7,,,4.1,5.3,721,441605,Overall,Overall,,,DISEST,STATTYPE,"(40.06021014100048, -82.40426005599966)",39,Q6VIS,AGEADJPREV,CAT1,BO1,,
2018,CO,Colorado,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,4.8,4.8,,,4.3,5.4,426,201601,Overall,Overall,,,DISEST,STATTYPE,"(38.843840757000464, -106.13361092099967)",08,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,US,"United States, DC & Territories",BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.9,5.9,,,5.8,6.1,38748,16566140,Overall,Overall,,,DISEST,STATTYPE,,59,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2018,PR,Puerto Rico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,10.3,10.3,,,9.3,11.3,582,316967,Overall,Overall,,,DISEST,STATTYPE,,72,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,HHS4,HHS Region 4,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4.2,4.2,,,4.0,4.5,3623,2319517,Overall,Overall,,,DISEST,STATTYPE,,83,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,NC,North Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.9,6.9,,,6.0,7.8,377,569904,Overall,Overall,,,DISEST,STATTYPE,"(35.466220975000454, -79.15925046299964)",37,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,GA,Georgia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6.4,6.4,,,5.8,7.0,740,529638,Overall,Overall,,,DISEST,STATTYPE,"(32.83968109300048, -83.62758034599966)",13,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2018,US,"United States, DC & Territories",BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.0,5.0,,,4.9,5.2,23545,13190605,Overall,Overall,,,DISEST,STATTYPE,,59,Q6VIS,AGEADJPREV,CAT1,BO1,,
2018,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,7.6,7.6,,,6.8,8.5,759,409059,Overall,Overall,,,DISEST,STATTYPE,"(38.635790776000476, -92.56630005299968)",29,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2018,HHS3,HHS Region 3,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.6,5.6,,,5.3,5.9,4033,1511451,Overall,Overall,,,DISEST,STATTYPE,,82,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2018,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.3,3.3,,,2.4,4.5,109,18722,Overall,Overall,,,DISEST,STATTYPE,"(64.84507995700051, -147.72205903599973)",02,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,WV,West Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,5.7,5.7,,,5.0,6.5,355,91673,Overall,Overall,,,DISEST,STATTYPE,"(38.66551020200046, -80.71264013499967)",54,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,NC,North Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4.0,4.0,,,3.4,4.8,223,349357,Overall,Overall,,,DISEST,STATTYPE,"(35.466220975000454, -79.15925046299964)",37,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,HHS5,HHS Region 5,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,11.7,11.7,,,11.4,12.1,8980,5206154,Overall,Overall,,,DISEST,STATTYPE,,84,Q6MOB,AGEADJPREV,CAT1,BO1,,
2018,IN,Indiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.9,4.9,,,4.4,5.5,478,264699,Overall,Overall,,,DISEST,STATTYPE,"(39.766910452000445, -86.14996019399968)",18,Q6VIS,AGEADJPREV,CAT1,BO1,,
2018,WY,Wyoming,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,8.0,8.0,,,7.2,8.9,566,38971,Overall,Overall,,,DISEST,STATTYPE,"(43.23554134300048, -108.10983035299967)",56,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2018,HHS6,HHS Region 6,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.0,7.0,,,6.4,7.6,2986,2206008,Overall,Overall,,,DISEST,STATTYPE,,85,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,TN,Tennessee,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,68.6,68.6,,,66.7,70.4,3113,3351379,Overall,Overall,,,DISEST,STATTYPE,"(35.68094058000048, -85.77449091399967)",47,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2018,PR,Puerto Rico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,57.8,57.8,,,56.1,59.6,2582,1493181,Overall,Overall,,,DISEST,STATTYPE,,72,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2018,MA,Massachusetts,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.6,6.6,,,5.7,7.5,419,362403,Overall,Overall,,,DISEST,STATTYPE,"(42.27687047000046, -72.08269067499964)",25,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.7,12.7,,,11.6,13.9,1970,2728211,Overall,Overall,,,DISEST,STATTYPE,"(31.827240407000488, -99.42677020599967)",48,Q6MOB,AGEADJPREV,CAT1,BO1,,
2018,PA,Pennsylvania,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.3,3.3,,,2.7,3.9,227,344386,Overall,Overall,,,DISEST,STATTYPE,"(40.79373015200048, -77.86070029399963)",42,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,HHS1,HHS Region 1,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.6,6.6,,,6.1,7.1,3113,777690,Overall,Overall,,,DISEST,STATTYPE,,80,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,NV,Nevada,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.7,5.7,,,4.6,7.2,172,138520,Overall,Overall,,,DISEST,STATTYPE,"(39.493240390000494, -117.07184056399967)",32,Q6VIS,AGEADJPREV,CAT1,BO1,,
2018,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,26.5,26.5,,,24.3,28.8,857,144714,Overall,Overall,,,DISEST,STATTYPE,"(64.84507995700051, -147.72205903599973)",02,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2018,IA,Iowa,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,2.8,2.8,,,2.4,3.2,299,72300,Overall,Overall,,,DISEST,STATTYPE,"(42.46940091300047, -93.81649055599968)",19,Q6VIS,AGEADJPREV,CAT1,BO1,,
2018,IL,Illinois,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,78.2,78.2,,,76.8,79.6,3879,7378977,Overall,Overall,,,DISEST,STATTYPE,"(40.48501028300046, -88.99771017799969)",17,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2018,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,25.8,25.8,,,24.2,27.5,3421,5366445,Overall,Overall,,,DISEST,STATTYPE,"(31.827240407000488, -99.42677020599967)",48,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2018,WA,Washington,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.4,5.4,,,4.9,5.8,1053,339175,Overall,Overall,,,DISEST,STATTYPE,"(47.52227862900048, -120.47001078999972)",53,Q6HEAR,AGEADJPREV,CAT1,BO1,,
2018,PA,Pennsylvania,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.2,7.2,,,6.3,8.2,431,720968,Overall,Overall,,,DISEST,STATTYPE,"(40.79373015200048, -77.86070029399963)",42,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,9.6,9.6,,,8.5,10.9,1158,1996092,Overall,Overall,,,DISEST,STATTYPE,"(31.827240407000488, -99.42677020599967)",48,Q6COG,AGEADJPREV,CAT1,BO1,,
2018,KY,Kentucky,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,5.1,5.1,,,4.4,5.9,529,188598,Overall,Overall,,,DISEST,STATTYPE,"(37.645970271000465, -84.77497104799966)",21,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,ND,North Dakota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,77.5,77.5,,,76.0,79.0,3911,432437,Overall,Overall,,,DISEST,STATTYPE,"(47.47531977900047, -100.11842104899966)",38,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2018,MT,Montana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10.7,10.7,,,9.4,12.0,557,87919,Overall,Overall,,,DISEST,STATTYPE,"(47.06652897200047, -109.42442064499971)",30,Q6COG,AGEADJPREV,CAT1,BO1,,
2018,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,9.0,9.0,,,7.9,10.3,629,432109,Overall,Overall,,,DISEST,STATTYPE,"(38.635790776000476, -92.56630005299968)",29,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,HHS9,HHS Region 9,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,11.3,11.3,,,10.8,11.9,4649,4638763,Overall,Overall,,,DISEST,STATTYPE,,88,Q6MOB,AGEADJPREV,CAT1,BO1,,
2018,HI,Hawaii,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,21.1,21.1,,,19.8,22.4,1875,245084,Overall,Overall,,,DISEST,STATTYPE,"(21.304850435000446, -157.85774940299973)",15,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2018,CT,Connecticut,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.9,2.9,,,2.5,3.4,359,89193,Overall,Overall,,,DISEST,STATTYPE,"(41.56266102000046, -72.64984095199964)",09,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,71.2,71.2,,,69.5,72.8,3781,3223953,Overall,Overall,,,DISEST,STATTYPE,"(38.635790776000476, -92.56630005299968)",29,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2018,WI,Wisconsin,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.2,3.2,,,2.6,4.0,173,151421,Overall,Overall,,,DISEST,STATTYPE,"(44.39319117400049, -89.81637074199966)",55,Q6VIS,AGEADJPREV,CAT1,BO1,,
2018,HHS8,HHS Region 8,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,21.7,21.7,,,21.1,22.2,11108,1934275,Overall,Overall,,,DISEST,STATTYPE,,87,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2018,HHS5,HHS Region 5,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,75.2,75.2,,,74.7,75.8,39814,29111253,Overall,Overall,,,DISEST,STATTYPE,,84,Q6DIS2,AGEADJPREV,CAT1,BO1,,
2018,HHS9,HHS Region 9,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24.4,24.4,,,23.6,25.2,8853,9529729,Overall,Overall,,,DISEST,STATTYPE,,88,Q6DIS1,AGEADJPREV,CAT1,BO1,,
2018,HHS3,HHS Region 3,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.4,3.4,,,3.1,3.7,1994,845929,Overall,Overall,,,DISEST,STATTYPE,,82,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,NJ,New Jersey,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.2,3.2,,,2.4,4.1,120,233177,Overall,Overall,,,DISEST,STATTYPE,"(40.13057004800049, -74.27369128799967)",34,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,DC,District of Columbia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.5,3.5,,,2.9,4.2,172,18166,Overall,Overall,,,DISEST,STATTYPE,"(38.89037138500049, -77.03196112699965)",11,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,HHS9,HHS Region 9,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10.4,10.4,,,9.8,11.0,3236,3915696,Overall,Overall,,,DISEST,STATTYPE,,88,Q6COG,AGEADJPREV,CAT1,BO1,,
2018,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,11.0,11.0,,,10.3,11.6,3667,1155799,Overall,Overall,,,DISEST,STATTYPE,,86,Q6COG,AGEADJPREV,CAT1,BO1,,
2018,AR,Arkansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4.2,4.2,,,3.6,4.9,309,103253,Overall,Overall,,,DISEST,STATTYPE,"(34.74865012400045, -92.27449074299966)",05,Q6SEL,AGEADJPREV,CAT1,BO1,,
2018,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.4,4.4,,,4.0,4.8,1797,495109,Overall,Overall,,,DISEST,STATTYPE,,86,Q6VIS,AGEADJPREV,CAT1,BO1,,
2018,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,11.3,11.3,,,9.8,13.0,398,141101,Overall,Overall,,,DISEST,STATTYPE,"(43.682630005000476, -114.3637300419997)",16,Q6COG,AGEADJPREV,CAT1,BO1,,
2018,WY,Wyoming,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.8,5.8,,,4.9,6.9,271,25767,Overall,Overall,,,DISEST,STATTYPE,"(43.23554134300048, -108.10983035299967)",56,Q6IND,AGEADJPREV,CAT1,BO1,,
2018,NJ,New Jersey,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,76.7,76.7,,,74.1,79.0,2175,5043242,Overall,Overall,,,DISEST,STATTYPE,"(40.13057004800049, -74.27369128799967)",34,Q6DIS2,AGEADJPREV,CAT1,BO1,,
